gene	log2hr	pval
ERBB2	0.7990873060740036	1.50737376485685e-165
OXT	0.7739963251111731	2.69615844114098e-165
COL6A3	0.8073549220576041	3.31722583060992e-164
NOS3	0.765534746362977	3.0454536981734e-163
GGH	0.7484612330040356	4.42389282663907e-163
TNFRSF1A	0.8073549220576041	1.04894002441255e-162
ICAM1	0.765534746362977	4.78874159160763e-161
SSC4D	0.7907720378619999	3.65918497700836e-160
RARRES2	0.7570232465074596	4.1651511114123e-160
STC1	0.7570232465074596	1.37599111832319e-156
REN	0.7907720378619999	3.98274366021587e-156
VSIG4	0.7907720378619999	6.64726782473617e-156
EFNA4	0.765534746362977	1.58900821704824e-152
ADA2	0.7570232465074596	2.92534211912622e-152
CRHBP	0.7484612330040356	1.19816192083941e-151
SSC5D	0.7398481026993274	1.58862714966651e-151
PLA2G15	0.7311832415721999	4.12004856284791e-151
ANGPT2	0.7398481026993274	1.02160013822203e-149
CCL20	0.7136958148433589	1.03111024734118e-148
AGRN	0.7484612330040356	1.50983953852824e-148
SULT2A1	0.7398481026993274	3.8288487196915e-148
SCLY	0.7484612330040356	8.58596189877204e-148
NOMO1	0.722466024471091	2.90069377113217e-147
AGXT	0.722466024471091	1.05563520156871e-146
SIGLEC1	0.722466024471091	3.44168101399095e-145
ADM	0.7824085649273732	5.11514854355648e-145
CCL7	0.7136958148433589	2.16565489615666e-144
MUC13	0.7398481026993274	9.20158322696027e-144
SPON2	0.7311832415721999	2.09527372195384e-143
CCL3	0.7311832415721999	2.2866506674148e-143
ANGPTL2	0.7136958148433589	3.79156217483433e-142
ALDH1A1	0.7136958148433589	2.50553990502762e-138
KYNU	0.7136958148433589	1.33929571651183e-137
CCL16	0.7311832415721999	4.91502237794276e-137
ADGRG2	-0.7369655941662062	5.52245159214833e-136
MME	0.7048719644563528	1.29271910330119e-135
FGFBP1	-0.7131188522118385	1.5384393030814e-135
ADAMTS15	0.6870606883398924	1.19719969857989e-132
BCAN	-0.7131188522118385	4.60292853896518e-132
SIT1	0.6690267655096307	4.85539369502444e-132
GFRA1	0.722466024471091	9.07992878905968e-131
CCL15	0.6959938131099002	1.09993405567913e-130
LILRA5	0.6780719051126377	1.15679454686301e-130
ROBO1	0.6780719051126377	9.5287675879154e-129
CDH1	0.6780719051126377	1.43723529613061e-128
HNMT	0.6959938131099002	3.14227342137832e-128
DCXR	0.7048719644563528	3.17319035270691e-127
SCARA5	0.7136958148433589	3.53236633582915e-127
PLAUR	0.6780719051126377	1.38218330514539e-125
SORD	0.6780719051126377	1.60305377736935e-125
TPP1	0.6599245584023783	4.64661601602678e-125
MET	-0.6665762662748083	3.1026018578845e-124
FSTL3	0.7136958148433589	1.16377162877434e-123
BST2	0.6690267655096307	1.35801595761421e-123
TIMP1	0.6780719051126377	7.50098514542509e-122
CTSZ	0.6599245584023783	6.42571417669343e-120
CA5A	0.6599245584023783	4.02712777017139e-119
PLIN1	0.6415460290875237	4.57510358389517e-119
TNFRSF1B	0.6690267655096307	8.31350273187569e-119
HAVCR2	0.6690267655096307	1.48029414641632e-118
CES2	0.6415460290875237	1.95106475405006e-118
COLEC12	0.6959938131099002	3.37745291466815e-118
MFGE8	0.6507645591169023	1.46791478583155e-117
CSF1	0.6599245584023783	1.48227176692854e-117
ENPP7	0.6507645591169023	3.33544682002419e-117
IGF2R	0.6415460290875237	3.52289140273403e-117
CD74	0.6690267655096307	1.02726420426159e-116
AREG	0.6690267655096307	1.36620148453054e-116
IGFBPL1	0.6780719051126377	2.84824756571268e-116
ACAA1	0.6415460290875237	6.22017916566938e-116
NCAN	-0.6665762662748083	5.21151932360099e-114
SCARB2	0.6870606883398924	5.57278853845076e-114
NRCAM	0.632268215499513	5.61203196997479e-113
NTRK3	-0.6438561897747247	9.87487949893728e-113
LAIR1	0.6599245584023783	2.65296181310674e-112
IL10RB	0.6415460290875237	9.86460300395129e-112
TNFRSF12A	0.6690267655096307	1.18203695891247e-111
TGFA	0.6229303509201767	2.85368063334257e-110
CST3	0.6690267655096307	2.12342713246574e-109
SNCG	0.6507645591169023	7.29776410380436e-108
ACAN	-0.6438561897747247	1.45114847506181e-107
IGFBP7	0.6507645591169023	2.1629677777693e-107
FGF23	0.632268215499513	1.53676011157731e-106
CD4	0.6135316529179271	2.93589423851613e-105
CRIP2	0.632268215499513	8.45525517520215e-105
PLTP	-0.6214883767462701	1.16835605433146e-104
PCSK9	0.6040713236688608	2.338486810358e-104
EGLN1	0.5945485495503542	1.93807067441363e-103
DPY30	0.6040713236688608	2.7319433314826e-103
TNFRSF6B	0.6135316529179271	1.22174406819924e-102
IFNGR2	0.5945485495503542	2.89124031719097e-102
TNFRSF11B	0.6415460290875237	3.1421760839566e-102
IDUA	0.5849625007211562	7.28279088825054e-102
LAMP2	0.5945485495503542	1.09111740299115e-101
ARSA	0.5945485495503542	1.50404190572942e-101
CD5	0.5849625007211562	2.62578539334882e-101
FBP1	0.5945485495503542	2.77098473921354e-101
CCL21	0.5945485495503542	1.19632945904668e-100
AGR3	0.5849625007211562	2.35563770718805e-100
FAS	0.6229303509201767	3.16528445978635e-100
GHRL	-0.5994620704162712	3.80184683315832e-100
MATN3	-0.5777669993169522	4.01298300539569e-100
IGFBP4	0.6507645591169023	1.82812429228434e-99
MAD1L1	0.5945485495503542	2.06616635643847e-99
EPS8L2	0.6040713236688608	2.46963533773444e-99
LDLR	0.5849625007211562	2.75537805035001e-99
CD300E	0.6040713236688608	7.33318765771719e-99
OSM	0.5849625007211562	1.9188156070192e-98
SIGLEC10	0.5849625007211562	2.17608895027003e-98
LTBP3	0.5945485495503542	1.11187806262101e-97
EZR	0.5753123306874368	2.33123101767057e-97
PGF	0.6599245584023783	5.28438956968969e-97
SEMA7A	0.5849625007211562	7.60941817007486e-97
IL1R2	0.5849625007211562	3.90768184283256e-96
WFIKKN2	-0.5777669993169522	4.0965857432628e-96
UMOD	-0.5994620704162712	1.19520723628524e-95
CHI3L1	0.6040713236688608	1.68377411825178e-95
CD22	0.5753123306874368	6.75326325619716e-95
MMP7	0.5945485495503542	1.31877115335059e-94
LBP	0.5655971758542251	2.37950382212588e-94
CDH15	0.6690267655096307	3.50459163691772e-94
IL17RB	-0.5777669993169522	4.34397768793983e-94
THY1	0.5849625007211562	5.48774238826144e-94
ACP5	0.5849625007211562	5.97949564578212e-94
THBS4	0.5753123306874368	5.09823690871398e-93
PBLD	0.5655971758542251	7.16335341234093e-92
CCN4	0.5655971758542251	7.71445164743534e-92
CALCA	0.6690267655096307	6.07292324605067e-91
GALNT10	0.5753123306874368	9.19469974089023e-91
VWA1	0.5655971758542251	4.98310073434897e-90
SELPLG	0.5558161550616397	1.19700460376576e-89
SMOC1	0.5849625007211562	8.64046964138982e-89
CALB2	0.5655971758542251	2.63704827040911e-88
LILRB1	0.5558161550616397	6.34312173787041e-88
ST6GAL1	0.5558161550616397	6.37343119364422e-88
GCG	0.5558161550616397	1.13269354726648e-87
TNF	0.5558161550616397	2.2976851083412e-86
MZB1	0.5459683691052925	3.39942630766617e-86
TREM2	0.5753123306874368	5.38618418002931e-86
NPY	0.5558161550616397	1.23022416639525e-85
IL18	0.5558161550616397	1.78530378012457e-85
IL13RA1	0.5260688116675876	4.00771262211876e-85
CCL22	0.5360529002402097	1.61214516992161e-84
LGALS1	0.5558161550616397	1.80190106688054e-84
GRPEL1	0.5459683691052925	7.26082874312866e-84
SEMA3F	0.5558161550616397	8.79556628680099e-84
PAG1	0.5260688116675876	6.81603953231945e-83
PILRA	0.5459683691052925	4.89828284416642e-82
THOP1	0.5459683691052925	1.85236200313783e-81
DPT	0.5753123306874368	4.94684281614504e-81
TLR3	0.5260688116675876	9.21684615000168e-80
PLA2G1B	-0.5353317329965558	1.27206812700518e-79
AMBP	0.5558161550616397	1.59782456112376e-79
FETUB	0.5459683691052925	1.63552718583705e-79
GPR37	0.5360529002402097	2.85171857366346e-79
APBB1IP	0.5160151470036647	4.60975465707795e-79
RNASET2	0.5360529002402097	5.82083453298279e-79
GZMA	0.5160151470036647	2.76028017927013e-78
DDAH1	0.5160151470036647	5.09584197507107e-78
IFNLR1	0.5160151470036647	8.35856884563618e-78
ANGPTL4	0.5260688116675876	1.32068690195579e-77
TFF1	0.5260688116675876	3.77656981328508e-77
VMO1	0.5160151470036647	4.28536524803365e-77
CD83	0.5260688116675876	3.00044865268235e-76
ALDH3A1	0.5260688116675876	3.84530427951863e-76
IGSF8	0.5160151470036647	6.24793058810757e-76
ITGB2	0.5260688116675876	6.92201774780266e-76
SFRP1	0.5360529002402097	7.88077567702491e-76
MFAP5	0.5260688116675876	1.02724573669423e-75
CRH	-0.5145731728297583	2.20134841580249e-75
GRN	0.5058909297299573	5.12824757431207e-75
TGFB1	0.5058909297299573	1.03536638261862e-74
CD59	0.5459683691052925	2.20956645684453e-73
ANGPTL7	0.5160151470036647	5.5009180544929e-73
CDHR5	0.49569516262406876	3.94269878402384e-72
KLRB1	0.5058909297299573	5.54993433948943e-72
TNFRSF14	0.5160151470036647	8.05930912366178e-72
TGFBR2	0.5260688116675876	1.90633974073186e-71
MICB_MICA	0.49569516262406876	2.888838301194e-71
MMP12	0.5360529002402097	8.60902014415788e-71
MASP1	0.49569516262406876	1.5216156843848e-70
POLR2F	0.49569516262406876	4.73106606097493e-70
CD28	0.48542682717024166	2.0353452299886e-69
CST7	0.47508488294878265	3.41218443358234e-69
CXCL16	0.49569516262406876	4.76955359882737e-69
TMPRSS15	0.48542682717024166	1.129401447288e-68
KITLG	-0.4739311883324124	8.91958261125931e-68
SPINK4	0.49569516262406876	9.28881049687349e-68
SLAMF8	0.48542682717024166	9.71435141794412e-68
TFF2	0.49569516262406876	1.12858990626629e-67
OPTC	-0.4941090702700427	2.17451022541672e-67
ITGAV	-0.4941090702700427	4.07020882829923e-67
LILRB4	0.49569516262406876	6.28516635835899e-67
ART3	-0.5145731728297583	7.74933362135763e-67
TEK	0.47508488294878265	1.32372207711587e-66
NECTIN2	0.48542682717024166	1.33165194050623e-66
P4HB	0.47508488294878265	1.51455530752018e-66
F7	0.48542682717024166	1.80736785557587e-66
CRLF1	0.49569516262406876	2.64867433355177e-66
GLB1	0.48542682717024166	4.19695079558999e-66
MARCO	0.48542682717024166	7.54799763015716e-66
SIGLEC6	0.47508488294878265	7.68821901523753e-66
GDNF	0.48542682717024166	1.02535455613927e-65
HSPB6	0.5360529002402097	1.80403137959793e-65
FAM3C	0.5058909297299573	2.41445143300753e-65
CD27	0.48542682717024166	2.56291905135063e-65
PCDH17	0.47508488294878265	3.0272503157648e-65
ELOA	0.46466826700344427	3.6563600861904e-65
MPO	0.46466826700344427	3.78098348969815e-65
ADGRE5	0.48542682717024166	5.75536727496396e-65
CCL19	0.47508488294878265	6.87893561004414e-65
CTSB	-0.4739311883324124	1.00407286058988e-64
ESM1	-0.4739311883324124	1.17197817370035e-63
CSTB	0.47508488294878265	1.26843538695579e-63
LGMN	0.46466826700344427	2.36327553198415e-63
ITGA11	-0.4739311883324124	3.91165622251356e-63
LRP11	0.47508488294878265	4.57545151315099e-63
CLUL1	-0.4739311883324124	4.88478694464359e-63
EPO	0.46466826700344427	7.27946796588012e-63
LY96	0.46466826700344427	3.47583644046608e-62
IL16	0.46466826700344427	6.5204100494923e-62
FCRL5	0.47508488294878265	8.33694335355961e-62
CXCL13	0.46466826700344427	9.62968761178019e-62
FABP5	0.45417589318580215	1.02404607835004e-61
SERPINA12	0.46466826700344427	1.26871954846178e-61
HSPG2	0.48542682717024166	1.35821734551714e-61
PARP1	0.45417589318580215	1.74955351649576e-61
TNFSF12	-0.4540316308947075	2.63140102261004e-61
DAG1	0.45417589318580215	2.80845957484234e-61
ADAM8	0.45417589318580215	7.70585931641618e-61
VSTM2L	0.44360665147561484	1.05822716379292e-60
LIFR	0.46466826700344427	1.27500876730372e-60
CCN5	0.5058909297299573	1.46201024307059e-60
LEPR	-0.4540316308947075	2.45149480366876e-60
PILRB	0.46466826700344427	8.30509459939125e-60
LSP1	0.45417589318580215	8.33735697288376e-60
AIFM1	0.44360665147561484	1.00380460606901e-59
VEGFA	0.45417589318580215	1.03061058623466e-58
PVR	0.44360665147561484	3.21588757606742e-58
MMP9	0.44360665147561484	7.09272993069878e-58
CCL18	0.45417589318580215	7.43529028257105e-58
PLA2G7	-0.4540316308947075	1.57535865149445e-57
TCN2	0.44360665147561484	2.50039098507786e-57
CES3	0.44360665147561484	4.67237473670932e-57
APLP1	-0.4540316308947075	4.81871120341453e-57
LPO	0.43295940727610627	1.04795436435049e-56
MMP8	0.44360665147561484	1.90477614033466e-56
SERPINE1	0.43295940727610627	2.28114089476193e-56
GPKOW	0.43295940727610627	2.73677727100935e-56
NADK	0.43295940727610627	2.94899852783064e-56
ALCAM	0.46466826700344427	4.21389256705051e-56
SKAP1	0.43295940727610627	7.19864076005436e-56
OGN	0.46466826700344427	7.5912479760067e-56
GAL	-0.4344028241457749	1.03565801005989e-55
EDA2R	0.5655971758542251	1.07963789553651e-55
EPHA1	0.46466826700344427	1.8811625435949e-55
DSC2	0.45417589318580215	1.88284965362507e-55
TNFRSF4	0.45417589318580215	2.93527711208936e-55
CD8A	0.4222330006830478	7.09791489642347e-55
FASLG	-0.4540316308947075	1.33494257800815e-54
ENPP2	0.5260688116675876	2.18571678415223e-54
RELT	0.47508488294878265	2.38953135105347e-54
LBR	0.4222330006830478	2.41148458954059e-54
SPON1	0.45417589318580215	2.67821128740904e-54
CDH17	0.4222330006830478	2.83088917152821e-54
IL12RB1	0.43295940727610627	3.45847375187081e-54
CGREF1	0.43295940727610627	3.86747015172283e-54
CD34	-0.4344028241457749	8.83301378235412e-54
HYAL1	0.43295940727610627	1.01773672527631e-53
CD79B	0.43295940727610627	1.60200370656095e-53
IL1RAP	-0.4344028241457749	2.14217521891349e-53
NPTXR	-0.4344028241457749	2.77539424545578e-53
COL18A1	0.45417589318580215	4.20286330465518e-53
PON2	0.4222330006830478	5.04266593610634e-53
AMY2B	-0.4150374992788438	1.07181341776327e-52
TNFRSF13B	0.4222330006830478	1.17893348643709e-52
TNFSF13B	0.43295940727610627	2.30359316899835e-52
OMD	-0.4344028241457749	4.7030835314113e-52
DSG4	-0.4344028241457749	5.81116897133777e-52
CKAP4	0.43295940727610627	7.48408441217559e-52
SPINT1	0.41142624572646497	1.33523361138769e-50
RBKS	0.4222330006830478	1.66905265260291e-50
SRP14	0.41142624572646497	1.82409815947336e-50
ADGRE2	0.4222330006830478	1.91194266947248e-50
CD48	0.41142624572646497	2.94846279173231e-50
DSG2	-0.4150374992788438	3.63021841096076e-50
CA6	-0.4344028241457749	9.28329386442736e-50
NT5E	0.41142624572646497	1.03295479852939e-49
CD302	0.44360665147561484	1.34049347517696e-49
DLL1	0.4222330006830478	2.5060496577141e-49
FLT4	0.41142624572646497	3.18122904762304e-49
SIAE	0.41142624572646497	3.23269629564867e-49
PXN	0.41142624572646497	4.59297774097306e-49
IL18BP	0.43295940727610627	5.10629503394559e-49
ULBP2	0.41142624572646497	1.0309836197454e-48
FMNL1	0.4005379295837288	7.00846941419515e-48
CCDC80	0.44360665147561484	8.04313893246807e-48
CR2	0.4005379295837288	1.09509412729027e-47
REG4	0.4222330006830478	1.23280043284853e-47
FCER2	0.4005379295837288	1.3514878640038e-47
MOG	-0.4150374992788438	1.82880199586983e-47
SLIT2	0.4005379295837288	1.90678604700238e-47
AMY2A	-0.3959286763311392	1.95736065348667e-47
TFF3	0.43295940727610627	2.66037473499864e-47
ACVRL1	0.43295940727610627	3.97920131013751e-47
PTPRM	0.4005379295837288	5.86848588148974e-47
IL12A_IL12B	0.4005379295837288	8.83925692984738e-47
CSF3	0.4005379295837288	1.79261203303489e-46
FCAR	0.3895668117627256	1.90994854481767e-46
TFPI2	0.41142624572646497	2.59090558353759e-46
PSPN	0.5160151470036647	3.28094863268109e-46
IL12B	0.4005379295837288	3.8918343555972e-46
S100A11	0.4005379295837288	4.24464526297169e-46
CLMP	0.4222330006830478	4.98064263002639e-46
MEGF9	0.4005379295837288	6.74956417438828e-46
CHRDL2	0.41142624572646497	8.23432742671953e-46
CTSL	0.4005379295837288	8.36327535268151e-46
SERPINA9	0.4005379295837288	9.87174876243877e-46
CD300C	0.4005379295837288	1.1305286041571e-45
SMOC2	0.4222330006830478	1.24394053033027e-45
SETMAR	0.4005379295837288	1.36405786753377e-45
DKK4	0.4005379295837288	2.5534762367371e-45
CD63	0.3895668117627256	2.59264471233666e-45
TNFRSF9	0.41142624572646497	3.82851427153143e-45
TNFSF14	0.37851162325372983	4.71900316182432e-45
CLEC4D	0.3895668117627256	4.95682277957972e-45
VNN2	0.3895668117627256	5.66077914190844e-45
SLITRK2	0.3895668117627256	6.3746646763687e-45
FOLR2	0.4005379295837288	1.76740074979549e-44
SLAMF1	0.3895668117627256	1.95057242928208e-44
CDON	0.4005379295837288	2.08686082681797e-44
EFNA1	0.4005379295837288	2.68037297826082e-44
CXCL10	0.4005379295837288	5.8665379217181e-44
FCGR2A	0.3895668117627256	8.16326361902493e-44
CD109	0.3895668117627256	1.02353851905868e-43
QPCT	0.37851162325372983	1.08040885542001e-43
AGER	-0.3959286763311392	1.32415466980214e-43
FUCA1	0.37851162325372983	1.72023468130052e-43
DEFB4A_DEFB4B	0.4005379295837288	1.96894651111781e-43
STC2	0.4005379295837288	2.45547903656355e-43
SUMF2	0.37851162325372983	2.57858626649451e-43
EPHA2	0.41142624572646497	3.22592011415622e-43
TXNRD1	0.37851162325372983	3.76694221746111e-43
GFER	0.37851162325372983	6.43493937166321e-43
AOC3	0.4005379295837288	6.75837013800034e-43
QDPR	0.37851162325372983	8.6125453995925e-43
ISM1	0.3895668117627256	1.09887189106426e-42
SDC1	0.3895668117627256	2.13486121423927e-42
TIE1	0.37851162325372983	2.55477246522962e-42
APEX1	0.37851162325372983	4.05961025572169e-42
SIGLEC9	0.37851162325372983	5.17160376682918e-42
CHL1	-0.3770696490798233	5.69825202939174e-42
ANG	0.3895668117627256	5.94219108919835e-42
B4GALT1	0.37851162325372983	6.15827980959507e-42
PSIP1	0.36737106564852945	9.67511890544431e-42
XCL1	0.36737106564852945	1.03523048128126e-41
EFEMP1	0.41142624572646497	1.12287133156326e-41
OBP2B	-0.4540316308947075	1.68953214032331e-41
WIF1	-0.3770696490798233	1.83339284835145e-41
NCAM2	-0.3770696490798233	2.72083442662674e-41
ZBTB17	0.37851162325372983	3.39052059015877e-41
LRRC25	0.37851162325372983	3.92940379944994e-41
CLEC4A	-0.3770696490798233	7.20399714132724e-41
RAB6A	-0.3770696490798233	1.12856210596623e-40
CFC1	0.36737106564852945	1.75780584404161e-40
PODXL2	-0.3584539709124763	2.32825934849467e-40
NRP1	0.37851162325372983	2.37565909862716e-40
SORT1	0.36737106564852945	3.60727819488823e-40
NTRK2	0.37851162325372983	3.92629171673108e-40
IL19	0.36737106564852945	5.64326186617407e-40
LILRB2	0.36737106564852945	6.48003721640935e-40
NFATC3	0.36737106564852945	8.27679583287027e-40
RRM2	0.36737106564852945	9.02102518498006e-40
PTGDS	0.3895668117627256	1.69994737112178e-39
ENAH	0.36737106564852945	2.62216499859571e-39
SERPINB8	0.36737106564852945	3.9811176503576e-39
NUCB2	0.36737106564852945	1.05480559225936e-38
SIRPB1	0.36737106564852945	1.20768636510571e-38
PHOSPHO1	0.37851162325372983	1.69005907654008e-38
TMSB10	0.35614381022527536	5.29821916766016e-38
ARSB	0.35614381022527536	7.25626891084338e-38
LILRA2	0.36737106564852945	1.20657945393138e-37
BTN2A1	0.36737106564852945	1.23768736602887e-37
CREG1	0.35614381022527536	1.58295234821414e-37
SMPD1	0.35614381022527536	2.08942525329906e-37
NAMPT	0.34482849699744117	2.67501413905466e-37
CNTN5	-0.3770696490798233	3.93752558394887e-37
CCL4	0.35614381022527536	4.85518435450863e-37
NPPC	0.4005379295837288	1.95758529923746e-36
FCRL1	0.34482849699744117	3.06497990293621e-36
CD274	0.35614381022527536	4.56100937647329e-36
CCN3	0.37851162325372983	6.33460654343152e-36
CD38	0.4222330006830478	6.38809410689152e-36
CD6	0.34482849699744117	6.54026169766153e-36
CXCL8	0.34482849699744117	6.64860017192978e-36
PIK3IP1	0.36737106564852945	1.1225554429415e-35
NMNAT1	0.34482849699744117	1.13261397384787e-35
F11R	0.34482849699744117	1.39920660896261e-35
KRT19	0.35614381022527536	1.41514486720514e-35
CLEC6A	0.34482849699744117	2.20584381034195e-35
FCRLB	0.34482849699744117	2.2483226144789e-35
NBL1	0.35614381022527536	5.09063704216503e-35
KIT	-0.3584539709124763	5.62371631848857e-35
FGR	0.3334237337251918	7.65782783999122e-35
PTPRF	-0.3584539709124763	9.34662397518372e-35
AMIGO2	0.3334237337251918	1.06691895026409e-34
SCGB3A2	-0.3400754415976217	1.69181159104901e-34
IL17C	0.34482849699744117	1.99408353557119e-34
CHGB	-0.3400754415976217	2.22288330675557e-34
CBLN4	0.3334237337251918	2.52963563099452e-34
EGFL7	0.34482849699744117	3.20073321911074e-34
AKR1C4	0.3334237337251918	6.40868424060185e-34
CTSH	0.3334237337251918	8.21650444587534e-34
CXCL6	0.3334237337251918	1.07138014690691e-33
STX4	0.3334237337251918	1.68475763338436e-33
GGT5	0.34482849699744117	1.89532806053571e-33
OSMR	0.34482849699744117	2.25094151601128e-33
CANT1	0.3334237337251918	2.77867362222228e-33
KLRD1	0.3334237337251918	3.52876241900897e-33
PRKRA	0.3334237337251918	8.70323371500027e-33
CD164	0.3334237337251918	1.39885485040097e-32
CRELD2	0.3334237337251918	1.76484669967687e-32
ADAMTS8	-0.3219280948873623	1.92418436249302e-32
SCG3	-0.3400754415976217	2.50368325965473e-32
GPNMB	0.3334237337251918	3.69843402949696e-32
PI3	0.34482849699744117	3.94114615220065e-32
IL2RA	0.3334237337251918	5.05184296822573e-32
PLA2G2A	0.3334237337251918	5.70233158174526e-32
SPINT2	0.3334237337251918	6.88211421671646e-32
CLSTN2	0.3334237337251918	7.24430999622431e-32
LY9	0.32192809488736235	7.70450636479347e-32
PTPRS	-0.3219280948873623	1.9119367092402e-31
MILR1	0.32192809488736235	2.81209401616099e-31
SPINK1	0.3334237337251918	3.75952829921557e-31
CAPG	0.32192809488736235	5.19417035147074e-31
TFRC	0.32192809488736235	5.91512490416405e-31
CDHR1	0.3103401206121505	7.27783541065992e-31
VWF	0.32192809488736235	7.40743658412747e-31
TNFSF13	0.3334237337251918	1.00189694698317e-30
B4GAT1	-0.3219280948873623	1.18398749596578e-30
S100P	0.32192809488736235	1.51721539803949e-30
CD40	0.32192809488736235	1.685230195827e-30
CD200	-0.3219280948873623	1.68945724419316e-30
SH2D1A	0.3103401206121505	1.79988062137153e-30
MDK	0.32192809488736235	2.06455888326437e-30
ANGPTL3	-0.3400754415976217	2.07731087883091e-30
RASSF2	0.3103401206121505	2.75181111194168e-30
ST3GAL1	-0.3219280948873623	3.30792823806807e-30
SHMT1	0.3103401206121505	3.86558416032821e-30
SLAMF6	0.3103401206121505	6.05970924911742e-30
DPP7	0.3103401206121505	1.01939588421472e-29
GAS6	0.32192809488736235	1.14053659015093e-29
GZMH	0.3103401206121505	1.32534469641626e-29
OSCAR	0.3103401206121505	1.34439260065754e-29
IL1RL1	0.3334237337251918	1.40619482335737e-29
DDR1	0.32192809488736235	1.79513580950023e-29
BTN3A2	0.3103401206121505	1.93144447505191e-29
CD244	0.3103401206121505	2.76686175185081e-29
LIF	0.3103401206121505	4.32252476668412e-29
OMG	-0.3040061868900999	6.83387024218055e-29
IL6ST	0.3103401206121505	6.95501417197327e-29
FLRT2	0.3103401206121505	7.1416561900937e-29
NOS1	0.3334237337251918	8.82007138526028e-29
NBN	0.3103401206121505	1.09692287464065e-28
CPE	-0.3040061868900999	1.16480218472229e-28
PTN	0.32192809488736235	1.22347171742413e-28
OLR1	0.3103401206121505	1.33532999790532e-28
CRISP2	-0.3400754415976217	3.06007346196503e-28
SLAMF7	0.29865831556451516	3.07238461796694e-28
CTSC	0.3103401206121505	3.4467763435827e-28
MATN2	0.3103401206121505	4.29766185989659e-28
MB	0.34482849699744117	6.77567803463516e-28
SPINK6	0.3103401206121505	7.13475465706095e-28
BMP6	0.29865831556451516	1.29868488075229e-27
TGFBI	0.29865831556451516	2.31685391560681e-27
CTRC	-0.3040061868900999	2.49717831636747e-27
SCAMP3	0.29865831556451516	5.43934706107429e-27
TMPRSS5	-0.3040061868900999	6.04763200126445e-27
