gene	log2fc	pval
DDX24	-0.2858480532456191	1.0302744398642942e-06
CKAP4	0.16573657171679557	1.04306667339463e-06
TMTC4	0.307700970444861	1.0452953055128725e-06
ACTR3B	-0.36182319012092456	1.0639851663201868e-06
SNTB2	0.5210219950144079	1.0789843824672128e-06
PMEPA1	0.2783507537781986	1.0958052362610184e-06
TTLL5	0.24843430593421267	1.1394390221852647e-06
PSEN2	-0.23502861501254024	1.1821658245225577e-06
KIRREL	0.6712536724630294	1.184152510727647e-06
ZNF441	-0.6168342630933585	1.290643953075487e-06
TET3	0.5972329209598968	1.3446999519855332e-06
BEX5	-0.5013319918383541	1.3467364241834556e-06
SLFN5	0.5193955006278177	1.3853779409898058e-06
SGPL1	0.3797364842756856	1.3967165203494332e-06
MORC4	0.4429741755526351	1.4152217476148399e-06
YES1	0.24600732075187892	1.4508966763532682e-06
MUTYH	-0.3077976400839608	1.4630157381590998e-06
RB1CC1	0.29106830708207987	1.5675006343749476e-06
TRIB2	0.4797622399248098	1.658240597350573e-06
CDKN2B	0.4138419822869679	1.6584858274554706e-06
RHOQ	0.2071415422243117	1.6705600375247635e-06
FOXC1	0.6927610786741845	1.7269280236155116e-06
ITPKB	0.49012427081892085	1.735190661053901e-06
LPP	0.2766445290977444	1.7782464183044823e-06
ITGB8	0.3965565477142867	1.836005660500702e-06
ARL6IP6	0.22382844142857117	1.8458464973216605e-06
ATL3	0.1545212380701777	1.854491305016118e-06
FCHO2	0.4317248964761937	1.9184471680431704e-06
ASCL2	-1.0734968279862178	1.935161713152943e-06
KANSL1	0.12044156335213074	1.9493711973141763e-06
MARCKSL1	0.4638684850939878	1.952591650231821e-06
NGRN	-0.22538111117794735	1.9846863753283448e-06
TPM1	0.21158588223057428	1.9993964801138952e-06
MAP3K1	0.38873885882832226	2.229405308899066e-06
RCC2	0.407161707500002	2.240636795321633e-06
ELAVL1	0.4768416611052615	2.4116333266973536e-06
FAM102B	0.6243728026654072	2.4678344444706233e-06
ZNF280C	0.4142403049868415	2.5482997219574098e-06
TGIF1	0.68391339266228	2.716446725796618e-06
ARPIN	0.3996972145620248	2.725257828547852e-06
DGKE	-0.4480866407205486	2.738140181914006e-06
RNF24	0.5153595607938595	2.7389684092738826e-06
HMBOX1	0.3915782446378415	2.801122481343451e-06
NFYA	0.3816482437700479	2.944885633713768e-06
UBTD2	0.1969370858521362	3.0271700806006475e-06
SERINC5	0.35087321499373125	3.0742290856749155e-06
SNN	0.413650961079572	3.0833202917331276e-06
ARRDC3	0.5284377316936073	3.1027386161198415e-06
KDM5B	0.30932129541791653	3.106707957268862e-06
SYT5	-0.42017687031579065	3.1277868921168933e-06
MDH1	-0.23776079206766987	3.1467742762956733e-06
KLHL24	0.38592558002004473	3.1745716062583546e-06
SLC25A30	0.21838998436904866	3.2828356958096175e-06
FARP1	0.36257372674749	3.294769867833402e-06
DUSP10	0.5905426279454904	3.3816656675625216e-06
GGA2	-0.3330041740977485	3.399865987451862e-06
AMIGO2	0.43529212847431253	3.4758656755399184e-06
RP1-212P9.2	-1.015066072501881	3.5495561469895325e-06
SAMD11	-0.5345684085820777	3.6533117283317138e-06
FAM78B	-0.45055447168484	3.72763041737579e-06
CYP27B1	0.9414548331102734	3.760592307458404e-06
C15orf59	-0.6623661800601504	3.8092729152925197e-06
TMEM2	0.3502157287111558	3.850536813533149e-06
CHCHD7	-0.28184380291854794	3.910041873841268e-06
MBTD1	0.30787627288847297	4.030156766857184e-06
GPBP1L1	0.15425318778195773	4.400175636259891e-06
DSC2	0.3432201618546369	4.403008629974276e-06
OPN3	0.362072204317041	4.535953848649643e-06
AMZ2P1	-0.38277978040162886	4.603958279283956e-06
WWTR1	0.4251004118358406	4.697345224650183e-06
RXRB	-0.20688149010338286	4.887610315993055e-06
EVI5L	-0.2563708978972459	4.9461319602827615e-06
ITPRIPL2	0.20146092075814792	5.0555252255509615e-06
PTPN12	0.4471651094498803	5.06997868168314e-06
GLP1R	-0.7493082205664159	5.074277280614807e-06
ELMSAN1	0.26837395350125526	5.1161479103199535e-06
BEND7	0.37852822419736754	5.157765992634385e-06
ANKMY2	-0.3017845448258125	5.328367319625973e-06
GOLGA2	-0.23189554921115452	5.413439647765307e-06
ZSWIM6	0.30491533101190527	5.498117108966949e-06
TRIO	0.35141342399373166	5.514359802144649e-06
CDK20	-0.3364552334273192	5.525805601563984e-06
ZNF132	-0.5918139548828325	5.593210259162206e-06
BCL11A	0.684064488180451	5.723482020273116e-06
RIMKLA	-0.6045810300682959	5.754548082719608e-06
SMAD9	-0.8521999347951095	5.803364469300525e-06
SPECC1	0.5211377336077696	5.907703171700924e-06
GPR161	0.5422377989454894	5.953990825790462e-06
ANO6	0.45507598995363807	6.07139813314861e-06
KRAS	0.23247313987468665	6.129627733030388e-06
PDP1	0.3570212598370919	6.212803135814917e-06
FAM171A1	0.3066767518797011	6.249174126538562e-06
ETFDH	-0.3342182521466146	6.318677863560126e-06
FBXO17	-0.47613506192543564	6.549589104075334e-06
CCDC57	-0.27454825603571464	6.604415278098217e-06
SLC2A2	-2.0016632743590197	6.682123642142022e-06
MARK1	-0.5858888224724303	6.934435984471603e-06
CISD1	-0.21999200293233123	7.064421002471898e-06
SMG9	-0.22949983680513775	7.301432741421699e-06
NTNG2	-0.7771611543389767	7.425638873418745e-06
PDRG1	-0.26725228099498466	7.447708079784421e-06
ZHX2	0.18034334644736383	7.449994948557299e-06
KLF6	0.24896783104635922	7.459492070418701e-06
CREBBP	0.135048414755639	7.4735160608334736e-06
TTC9	0.5461372143615275	7.489772883986574e-06
KIAA1551	0.3455434001917279	7.544225392712795e-06
FTCD	-0.30243566820989987	7.613923511653467e-06
UBASH3B	0.48258875983333205	7.698635467425739e-06
FAM219B	-0.2367604735588955	7.800739075368475e-06
JAG1	0.20793607602130315	7.867120309461682e-06
CD320	-0.3242880044699241	7.90779866870225e-06
SLC25A37	0.3537847592606571	7.973282794695858e-06
SLC44A1	0.24919111634085134	8.01411962258353e-06
ERBB2IP	0.2835830580112795	8.146220163307867e-06
SAV1	0.4595944953496236	8.322590206640032e-06
SLC6A16	0.9163214691340835	8.46303810490547e-06
ALK	-0.7379591060137853	8.61949615798359e-06
AMPD2	-0.47092535179260153	8.628646783271753e-06
RNF44	0.36713232718796895	8.705664598837525e-06
LATS2	0.4379636474661641	8.884990183210948e-06
AGO1	0.2117327892951142	8.89330231114238e-06
LMO4	0.32380644409774106	8.918400142058134e-06
PTPRK	0.26866494622180603	8.949081273656526e-06
YPEL1	0.2711439866152823	9.168562454061857e-06
SYNC	0.3804302381347089	9.236590280304537e-06
CAMKK1	-0.5290823086854628	9.29937870720689e-06
VGLL4	0.2958718981829609	9.34032186758926e-06
ACTR2	0.18291109339598322	9.493448329064832e-06
FOXRED1	-0.2533753026234331	9.49707102861419e-06
RHOB	0.3016133250877111	9.557409132147154e-06
MTF1	0.2674849736422331	9.720909132949915e-06
CDC42SE1	0.1515477323809531	9.851991590719873e-06
APOO	-0.31541067142230617	1.012674944666313e-05
C1orf198	0.36784159376879444	1.0503926467945013e-05
GCGR	-0.38799265637092706	1.071572565168052e-05
SETD1B	0.22686948514410687	1.0969521342113988e-05
CTSV	-0.5674887934636557	1.11266283385905e-05
FAM124A	0.6724511036309524	1.1248086692972128e-05
LSM12	0.35041420055577177	1.1473637001812845e-05
MLLT4	0.16089517624060434	1.1521242796654427e-05
SERPINB9	0.4773919682456107	1.1875753014325887e-05
CTDSP2	0.17891337961152765	1.190001455972945e-05
TMEM87B	0.3857424691854625	1.1989479850558763e-05
IRF2	0.3450604614417294	1.2448303322882143e-05
RAB8B	0.3595934335306996	1.2495986454428155e-05
ZC3H4	0.1387613414786948	1.2555159681628317e-05
WBP1L	0.20197758327068094	1.2773430077950749e-05
SFT2D1	0.259757723515035	1.2915767281580095e-05
ISCU	-0.23252816088345973	1.3027061240032296e-05
WAPAL	0.22086605595300668	1.3210137815691861e-05
ATP5B	-0.12598026175438903	1.3389352609973577e-05
TMPO	0.39780260861780015	1.3519427252839648e-05
ASAP2	0.4147114739843367	1.3566867181832619e-05
MAP4	0.15614747067042245	1.36705467619715e-05
MED27	-0.2292403012625286	1.4080910817588056e-05
KLF13	0.20678013862719347	1.4173846041754718e-05
MOAP1	-0.22324826157895572	1.4614127778409201e-05
C6orf136	-0.21657661125313332	1.4662167521351462e-05
DUSP1	0.3688999043107781	1.4686449704123328e-05
FKBP3	-0.17650316406014888	1.5386928116325484e-05
EIF4EBP2	0.3888759229887242	1.5410027016263453e-05
SVIL	0.32737821670426115	1.5442976536604763e-05
CDH3	0.67304074548308	1.554283819725732e-05
TGFB2	0.39712918532581476	1.5852443990590204e-05
RBMS1	0.20465791147243273	1.629441129057294e-05
ELK4	0.16443612058270674	1.655106892444847e-05
IAPP	-0.7877840311716824	1.6752693119946707e-05
PLSCR4	0.43895313606704356	1.6774243983012266e-05
MPRIP	0.23882662746866856	1.679727847282216e-05
C1GALT1	-0.36457363498684536	1.7121712798966076e-05
MEX3C	0.23302923158520805	1.72934946995881e-05
SRPR	-0.16723912740601676	1.729995938211362e-05
C8orf76	-0.22525293232393828	1.7420268424889235e-05
CSNK1G1	0.21988970888283177	1.7509337112450613e-05
TMEM127	0.21194444978070415	1.755978895394944e-05
PRKCI	0.3058388519047597	1.766138868921118e-05
NOTCH2	0.2561269567042608	1.778898734258619e-05
SMAD1	0.29856530332143016	1.8058844397770034e-05
IFNAR1	0.2454492895877145	1.8115233445592618e-05
RASEF	0.44357647785526844	1.826191341696154e-05
TBCE	-0.24929708979511211	1.8990482636746984e-05
CLMN	0.40833370692168103	1.9233359500144674e-05
PRKX	0.4452321055269426	1.9510553568923083e-05
LOC100507291	-0.4124608956309537	1.9522313081032162e-05
GABPB1	0.3069130229028829	1.9837085490802957e-05
FXYD2	-0.7377911280325851	1.991906863889221e-05
ZNF281	0.23116813057644414	2.0073331529788793e-05
STX1A	-0.971745688307017	2.016018649594226e-05
IRS1	0.2609945336528856	2.02175014747704e-05
LRRK1	0.42999544370113085	2.0363376014189777e-05
TJP1	0.18500097901002732	2.0653075356039117e-05
ZC3H12B	-0.5935708834561435	2.0726973934143384e-05
PRADC1	-0.252589364778828	2.107664008051409e-05
ATP5A1	-0.11792169335213742	2.141008871362527e-05
OTUD1	0.3220901483646621	2.1634443371758222e-05
NEDD4	0.43346501899310574	2.1725932536594717e-05
SFPQ	0.17792422697368693	2.203685211244389e-05
ATXN3	0.19294228392793933	2.2123608259579648e-05
KIAA1257	-0.43871867095927275	2.239149056425366e-05
TMEM161B-AS1	-0.2985830365000055	2.2447572041831405e-05
HEG1	0.3909898957644131	2.2448724838571437e-05
SVIP	-0.3612382567932322	2.250397295490157e-05
LOC100132891	0.5966249355745665	2.2841864172762033e-05
CCDC6	0.18645696289473612	2.2876119021411937e-05
LOC648987	0.33990921351754544	2.295330477114823e-05
APCDD1L	-0.7637428051334583	2.325692891141006e-05
TGFBR2	0.48318018027506504	2.3344435803497465e-05
CCDC28B	-0.31707629348245714	2.3446598410416257e-05
CEP95	0.2636684046303248	2.3567278380255855e-05
GAS1	0.7565679553690501	2.37732848912699e-05
ETS1	0.2870670210212989	2.3802435065105924e-05
AREL1	0.24153827646240522	2.3879497141005404e-05
LOC101928054	0.7859502349160445	2.4247148190638204e-05
KCTD15	0.48739662294799224	2.4405748640023577e-05
JTB	-0.12382886307017493	2.4556733429510182e-05
TXNDC11	-0.16980106520425942	2.4762663174166062e-05
CARKD	-0.2527382821560131	2.4912614564614135e-05
CCDC117	0.34974238698432814	2.528713728656178e-05
GDAP1L1	-0.6992359145426086	2.52975188165463e-05
TERF2IP	-0.3148660551754414	2.535095331478392e-05
CADPS2	0.2854816715288244	2.5394759299600125e-05
DPY19L1	0.23361753035714194	2.5585796026234613e-05
ZNF790-AS1	-0.34371249746929866	2.6151953605666777e-05
NUDT16L1	-0.30914157267794273	2.626599980632764e-05
NTPCR	-0.28341190775689107	2.6621172057752202e-05
PELI1	0.3411717265050136	2.6651160128610583e-05
NRAS	0.277285080852133	2.66733331427275e-05
RPIA	0.3741916268652865	2.700953047014454e-05
AMMECR1	0.2816364812155392	2.7370451355221668e-05
TAGLN3	-0.9925355171146633	2.7578739598545428e-05
PHLPP1	0.2272230469862162	2.7606621902780524e-05
PTP4A1	0.1729636618045145	2.7734688720915e-05
SUN2	0.1754592146491234	2.7773050514780194e-05
PPP2R3A	0.4447356640764344	2.8144322130338717e-05
TMEM44-AS1	-0.3527659567230579	2.8150899135612234e-05
PPM1E	-0.9362656477794484	2.8676674424290318e-05
GALNT14	-1.0386383312437308	2.8985690060706985e-05
MECOM	0.36820732319548277	2.9101037427487763e-05
LIN7B	-0.7091974955482456	2.9298259669590402e-05
FBXO46	0.27250085135024893	2.9967675982879877e-05
BCAS2	-0.18983176053258077	3.008918642952416e-05
WIPI2	0.15134469357142777	3.0180896645852793e-05
UBE4B	0.11330984354636087	3.0234526433314332e-05
NPEPPS	0.20288486926691363	3.02372506783714e-05
HMGCL	-0.2532426926058893	3.050138338115579e-05
NKX3-1	0.5032452884085199	3.0603115453353554e-05
PAK2	0.2690109873139086	3.062898181604996e-05
CDK2	0.358109113562028	3.0700156636642426e-05
ENDOD1	-0.3526965707236851	3.079296797721026e-05
CCND2	0.14402604704887167	3.1069458987908536e-05
SEC13	-0.16221315656642155	3.1154205678798585e-05
UBE2D1	0.285421823026315	3.1919360609452656e-05
ZNF230	-0.28361892074436046	3.193239610341658e-05
AVL9	0.25149478838158323	3.221637533439749e-05
NCKIPSD	-0.37255064440727104	3.232532693147779e-05
XPR1	0.22482306424185516	3.234751146510524e-05
VGLL3	0.5416493961804534	3.242436964930016e-05
TMOD3	0.25479379516228207	3.2850845814968986e-05
LINC00909	-0.3405985794755608	3.287274212604826e-05
DIP2B	0.18088415391603974	3.291264221745596e-05
AMZ2	-0.2518091780764422	3.316717986519082e-05
GRASP	-0.3584711292042604	3.346372888208078e-05
EXT2	0.23102258536716747	3.368950923175215e-05
LOC100129175	-0.5200503691002485	3.3714710644150374e-05
ETV5	-0.23136203450500936	3.390250051683926e-05
PANK3	0.2570569320275702	3.4835624322502124e-05
RP11-16N11.2	-0.7709842074624085	3.486071084606857e-05
COG7	-0.17919953128320731	3.4903408037936394e-05
NRARP	0.4106266211027574	3.492648303702358e-05
NOL3	-0.31639398231139637	3.5438884541146534e-05
BPIFC	-1.0850662727919822	3.5457018182958194e-05
PPP3R1	0.35784335493797137	3.5543289485233956e-05
MPP1	-0.5714042206992538	3.561960826914053e-05
CRNDE	0.7094987984755576	3.574751355301895e-05
MDH2	-0.1729189979573853	3.576147702240642e-05
TRAF3IP1	0.2856205459385919	3.603046985145575e-05
CASP2	0.1850951006829593	3.666272415986283e-05
CHL1	-1.2887415063408572	3.6697549764957446e-05
PARVA	0.3464682302368427	3.673137825833531e-05
SNAP23	0.21536615518797042	3.689557949757176e-05
IFNAR2	0.3908453406228105	3.691487574552178e-05
KDM3B	0.27938858407518374	3.7443706806426234e-05
STRADB	0.17842480632393531	3.759721873681573e-05
MTMR12	0.2637784431641599	3.763692346332601e-05
DENND5A	0.25714657523182716	3.799294531780499e-05
MAPK1	0.16890354260651463	3.839771099817724e-05
TSPYL2	-0.391543860874064	3.8817735189256104e-05
HNRNPA2B1	0.13034079400376086	3.895883206964303e-05
IFI16	0.48710936743295363	3.9380863543582865e-05
AIG1	-0.3079316366917304	3.944253310526811e-05
GIGYF2	0.1706630266917255	4.065207650811118e-05
MAN2A1	0.18254409515664527	4.084439548810048e-05
LAMC1	0.28911066703007826	4.1011042356493846e-05
CAMK2G	-0.3576448487067658	4.116592584178656e-05
TGFBR1	0.21493285261904305	4.149178482120843e-05
NRD1	-0.1785532873997493	4.149364550808044e-05
LOC100506411	-0.3754248517211769	4.216614297895604e-05
MTAP	0.37995916651253037	4.2207054493735504e-05
SMIM6	-0.5189473814943595	4.2551278601718335e-05
SYPL1	0.25804846372179924	4.3566596525059284e-05
MAN2A2	-0.18175555614035055	4.363666396445369e-05
MCHR1	-0.9165966538101493	4.382658927296863e-05
ACOT13	-0.3208700367543855	4.479928019303152e-05
PIR	-0.7235897780714291	4.4970897291114814e-05
UCHL1	-0.775596762434839	4.510468894288766e-05
KIRREL3	-1.2191702432662916	4.5784585361426297e-05
BCAT2	-0.2713466223446055	4.6084944036324185e-05
RHBDD2	-0.343221877436088	4.647553679716981e-05
HSPA5	-0.18131493694862044	4.651627640858267e-05
CLDN1	0.5094610703320814	4.6558996969848864e-05
ETFB	-0.3092731505827082	4.6973353941262494e-05
NCK2	0.3215087394492411	4.757294125247092e-05
FCHSD2	0.24435563522306047	4.781442272608735e-05
DOCK5	0.41227607645614306	4.8064886752577616e-05
VANGL2	0.5812417230977474	4.8176275317533184e-05
NACC2	0.20197715310150244	4.885517572842503e-05
DCAF17	0.39456017025501566	4.9080800428590946e-05
ANKRD50	0.3528303214880939	4.984773437208493e-05
RPS6KA2	0.34108902374561545	5.086942598519762e-05
GLT8D1	-0.31857820764160394	5.0994099786758114e-05
NFIB	0.3933547421052648	5.1221189986017224e-05
ELK3	0.404029062776317	5.13058346295713e-05
LYRM5	-0.29404324991040554	5.157501262356435e-05
PALD1	0.5174687383903498	5.1898166696268046e-05
MESDC1	0.4870776047587775	5.205059192793385e-05
RGS19	0.32776788479636654	5.214970564636247e-05
PRSS16	0.4864695715062659	5.2339858080859515e-05
SCAPER	-0.4644335994078954	5.2374254363165835e-05
BEX2	-0.40323502501879815	5.240742496544427e-05
SLC16A7	0.45585600884085054	5.246750467311966e-05
RASSF3	0.3019536457957379	5.273295509871556e-05
STK24	0.13478215338346544	5.307175066413259e-05
SWI5	-0.2672205848471112	5.349161969564112e-05
CD9	0.462959478429827	5.349447772531089e-05
HSD17B11	0.21139990364034666	5.362090475268539e-05
DGUOK	-0.18649345752506186	5.383101346610734e-05
RANGRF	-0.3312718938464929	5.384168392862268e-05
UBE2B	0.19897056918546596	5.533877605970857e-05
TMEM42	-0.38390429017480976	5.543322071021006e-05
NDUFB8	-0.22869946651629292	5.6576841246548376e-05
AHR	0.3754841934505002	5.6641193966628893e-05
COPS6	-0.1964238909398528	5.664697574875547e-05
RAG1	0.7275795260977462	5.69432310282101e-05
FOXA1	0.6938436888640336	5.752181655689724e-05
DDIT3	-0.45431845012782546	5.782166102728117e-05
AMOTL1	0.3258998912650348	5.877372633581764e-05
C15orf61	-0.35356859851190237	5.887230155620906e-05
GPC4	0.5363509996817069	5.904363012318073e-05
SPRED2	0.3488336709492472	5.9097646590436704e-05
BAG1	-0.21631325118170253	5.92703106512175e-05
AGO4	0.25490468143922307	5.936396030849431e-05
XPA	-0.23922389296992996	5.943720554136876e-05
ZNF738	0.4625234888677916	5.9997201494980994e-05
DOCK3	-0.6883131692963662	6.017068106700565e-05
PRDM2	0.275125628924183	6.107113461946041e-05
VAT1L	-0.9192580084248121	6.110019169153757e-05
C5orf51	0.21329303723057613	6.115441521634983e-05
CHST15	0.46335028657831856	6.147421155086481e-05
ORC3	-0.2713251272963628	6.180171945713157e-05
HKR1	-0.24542065478070718	6.21224374453771e-05
PTPN14	0.4705769312581456	6.252770012006532e-05
MSN	0.21501791679824045	6.276133993730478e-05
KITLG	0.33966768514724954	6.294099267607246e-05
TCTA	-0.36623764313721985	6.327019070652719e-05
EIF3J-AS1	-0.3246776845889734	6.362060092984232e-05
ZBTB18	0.18108744494987583	6.383306686891864e-05
SURF4	-0.19008455994360673	6.389655790293065e-05
IGSF3	0.37778289986841607	6.470122783203307e-05
TCF12	0.18101361306391084	6.471285984267414e-05
KIAA0247	0.25233426399122827	6.488336900765181e-05
ATP6V1E1	-0.22328683072055178	6.539028579729406e-05
GALNT1	0.20372370987468358	6.59015814653387e-05
SCGN	-0.8265259944636583	6.593298477950369e-05
RBM23	-0.23323085801064458	6.641430396604184e-05
DIRC2	0.3199547364285724	6.651647233469073e-05
COPS4	-0.20944267598370736	6.784590259720603e-05
EXOC6B	0.2872703840419746	6.79447689793608e-05
DGKD	-0.2971053159429804	6.801111226435062e-05
SLC19A2	0.24806898756265916	6.809814705649607e-05
RBM7	0.39059646131077663	6.810824041216372e-05
HSPA13	-0.3028651674812046	6.847229226001308e-05
FER	0.28515548811152414	6.866381410553124e-05
LBR	0.1480964738408499	7.076210278259233e-05
VCL	0.22929245422932887	7.086935075454749e-05
ZDHHC13	0.26446462055889164	7.15949432612444e-05
ZFYVE27	-0.17851253053257743	7.164860874961735e-05
RHPN1	-0.1945263957976202	7.201348649213036e-05
KCNN2	0.6269838001065171	7.249768987108031e-05
MPZL1	0.2369851564097747	7.291092736593886e-05
SCAMP5	-0.299220107114035	7.373732844390264e-05
NEK7	0.24712427385651559	7.462181893472489e-05
LBH	0.37059472126817106	7.46247364139209e-05
SPIRE1	-0.22618118675187837	7.490325056652244e-05
PLS3	0.19370307897869132	7.512119554028988e-05
ASB1	-0.287131927418546	7.636711124388853e-05
MRPL40	-0.17406814388470693	7.678901780805437e-05
ACKR3	0.6368555536328362	7.813025202592919e-05
EEF1A2	-0.37798449261653744	7.823448002766905e-05
PIN1	-0.29489539752255567	7.933974373195878e-05
C11orf57	0.4457583548583912	8.003396803905194e-05
WWTR1-AS1	0.4704983560964946	8.128338940374087e-05
CHPF	-0.20264371445614326	8.247428367362282e-05
NPRL2	-0.24994130706891404	8.293471224726868e-05
RASSF8	0.34088664477944697	8.324813858400803e-05
HIST3H2A	-0.4300491230520054	8.370580540884857e-05
BHLHE40	0.34039744843671293	8.42465064325908e-05
STXBP1	-0.5847046944812	8.451754329825338e-05
CHFR	0.22424208528821943	8.487265123396522e-05
C6orf1	-0.2949952718302047	8.50885145358249e-05
CEP135	0.32630875236215573	8.519104574583887e-05
USH1C	-0.5518251571253145	8.549121185846323e-05
RNF138	0.27210052270237917	8.588786291265902e-05
EIF3A	0.11250407567042409	8.684893538960038e-05
ENAH	0.3405906038721813	8.799329672805862e-05
ZCCHC18	-0.7307556401904804	8.890678914612786e-05
CCNJ	0.2044789378602747	8.993539303158206e-05
UST	0.5373562172374688	9.014153493742693e-05
LRRN3	-0.794736888587094	9.108244352907192e-05
TBCC	-0.29333708356453236	9.186931109025891e-05
PTPN21	0.22711831600250854	9.18750966653735e-05
FOXO6	-0.3620825103652914	9.207070542072025e-05
RBP7	0.3791272944285726	9.260321950198546e-05
CASR	-0.8584785481760644	9.282642833825309e-05
SPSB1	0.2959404571240629	9.293523181802645e-05
ILF3	0.3505923077794506	9.335012969912636e-05
PELI2	0.3089124204906053	9.341645835490878e-05
MAGEL2	-0.6810959345106502	9.343496199938986e-05
RBBP4	0.327827410769423	9.349623794550876e-05
WDR17	-0.6132569763314528	9.45947679232548e-05
ABL1	0.2065665222725599	9.467428693317517e-05
PTPRF	0.24634758401002976	9.480981656381435e-05
NDFIP1	-0.20719270618420715	9.483564321248667e-05
MNX1	-0.43415742265664115	9.494707854564476e-05
PDE4A	0.40625743354448574	9.496020927108199e-05
PLEKHA5	0.23638874731202897	9.532428224569338e-05
LONRF1	0.22212380335964887	9.550220509949364e-05
ATP6V1H	-0.17756912120927737	9.759676162238004e-05
SHANK2	0.5427749278088978	9.850544892109909e-05
FAM50B	-0.3157506769592686	9.99055037744512e-05
TMED3	-0.28300686887844506	0.00010004348188081154
VDAC3	-0.1230404716165392	0.0001007058959544136
CDK5RAP1	-0.2549398048890943	0.00010183560137565343
NR5A2	0.5691168284185402	0.000102217200206475
ANKRD34C	-0.8923580949248127	0.00010235945888570213
ICK	0.3847593026008802	0.00010255457353072555
ATP6V0A1	-0.3437358363715539	0.00010278465005529557
GLIPR1	0.42140903477443103	0.00010330073026974163
TNPO3	0.11958005627193202	0.00010338815165549762
CCND3	-0.2706895744699249	0.00010388295219273699
GPR143	0.2528388016058889	0.00010414947463645118
EIF2S3	0.1405557016478749	0.00010480617876630726
EDN1	0.5646262875332066	0.00010511070487198554
KIAA0430	0.14458854927318399	0.00010545913718375311
SH3PXD2B	0.4718274791328323	0.00010555488929066795
GSK3B	0.19343088352756332	0.00010565969347618534
KDM2B	0.1648698482706763	0.0001062779484348427
GYG1	-0.15574875206140426	0.00010692768907458262
